 Sale Date , Address , City , Zip 
12/1/2025,6120 NEWSTEAD CT,GREENACRES,33463
12/1/2025,48 WINGO ST,TEQUESTA,33469
12/1/2025,8049 LEMON SERPENTINE LN,DELRAY BEACH,33446
12/2/2025,12525 51ST CT N,ROYAL PALM BEACH,33411
12/2/2025,90 SOUTH BLVD 1D,BOYNTON BEACH,33435
12/2/2025,1251 SUMMIT RUN CIR,WEST PALM BEACH,33415
12/2/2025,1522 FARMINGTON CT,WELLINGTON,33414-8992
12/2/2025,2918 CARVELLE DR,RIVIERA BEACH,33404
12/2/2025,11407 BLUE VIOLET LN,ROYAL PALM BEACH,33411
12/3/2025,1020 MANOR DR,PALM SPRINGS,33461
12/3/2025,409 W WHITNEY DR,JUPITER,33458
12/4/2025,7705 MANSFIELD HOLLOW ROAD,DELRAY BEACH,33446
12/4/2025,5286 EADIE PL,WEST PALM BEACH,33407
12/4/2025,9280 BOCA GARDENS PKWY B,BOCA RATON,33496
12/4/2025,4061 BLUE SAGE PATH,BOYNTON BEACH,33436
12/8/2025,136 LIGHTHOUSE DR,JUPITER INLET COLONY,33469
12/8/2025,531 DATE PALM DR,LAKE PARK,33403
12/8/2025,3462 LANTERN BAY DR,JUPITER,33477
12/8/2025,6367 SUMMER SKY LN,GREENACRES,33463
12/8/2025,224 PAR DR,ROYAL PALM BEACH,33411
12/8/2025,1611 16TH TER,PALM BEACH GARDENS,33418
12/8/2025,4290 ROYAL BANYAN WAY B,LAKE WORTH,33461
12/8/2025,590 NW 46TH AVE,DELRAY BEACH,33445
12/8/2025,625 SW 20TH CT 0060,DELRAY BEACH,33445
12/8/2025,2029 ARDMORE RD,WEST PALM BEACH,33409
12/8/2025,5714 BARNSTEAD CIR,LAKE WORTH,33463
12/8/2025,1130 N K ST,LAKE WORTH,33460
12/8/2025,390 MONACO I,DELRAY BEACH,33446
12/8/2025,3550 OLD LIGHTHOUSE CIR,WELLINGTON,33414
12/8/2025,10890 LAKEMORE LN 201,BOCA RATON,33498
12/8/2025,1686 E RD,LOXAHATCHEE,33470
12/8/2025,2505 S OCEAN BLVD 205,PALM BEACH,33480-5434
12/8/2025,13310 VIA VULCANUS,DELRAY BEACH,33484
12/8/2025,712 E LAIRD DR,JUPITER,33458
12/8/2025,4500 GEFION CT 201,LAKE WORTH,33467
12/8/2025,5235 EUROPA DR O,BOYNTON BEACH,33437
12/8/2025,5815 S 38TH ST,GREENACRES,33463
12/8/2025,431 JUPITER LAKES BLVD 2113,JUPITER,33458
12/8/2025,5043 CRESTHAVEN BLVD C,WEST PALM BEACH,33415
12/8/2025,19 AMHERST CT # C,ROYAL PALM BEACH,33411
12/9/2025,2131 NE 1ST CT 103,BOYNTON BEACH,33435
12/9/2025,657 40TH ST,WEST PALM BEACH,33407
12/9/2025,2820 TENNIS CLUB DR 205,WEST PALM BEACH,33417
12/9/2025,605 N PENNOCK LN,JUPITER,33458
12/10/2025,10172 WHITE WATER LILY WAY,BOYNTON BEACH,33437-7540
12/10/2025,1058 BREAKERS WEST BLVD,WEST PALM BEACH,33411
12/11/2025,1606 NE 1ST ST,BOYNTON BEACH,33435
12/11/2025,1103 FAIRFAX CIR W,BOYNTON BEACH,33436
12/11/2025,,,
12/11/2025,,,
12/11/2025,12914 RAYMOND DRIVE,LOXAHATCHEE,33470
12/11/2025,10596 VERSAILLES BLVD,WELLINGTON,33449
12/11/2025,314 S C ST,LAKE WORTH,33460
12/15/2025,8944 KENDALE PL,LAKE WORTH,33467
12/15/2025,302 FORDHAM DR,LAKE WORTH,33460
12/15/2025,3839 VICTORIA RD,WEST PALM BEACH,33411
12/15/2025,190 SW 6TH AVE,SOUTH BAY,33493
12/15/2025,286 DORSET G,BOCA RATON,33434
12/15/2025,8625 WELLINGTON VIEW DR,WEST PALM BEACH,33411
12/15/2025,23137 VIA STEL,BOCA RATON,33433
12/15/2025,4187 N HAVERHILL RD UNIT 506,WEST PALM BEACH,33417
12/15/2025,12351 PERSIMMON BLVD,WEST PALM BEACH,33411
12/15/2025,9 BECKLEY PL,BOYNTON BEACH,33426
12/16/2025,97 SAXONY C,DELRAY BEACH,33446
12/16/2025,16833 130TH AVE N,JUPITER,33478
12/16/2025,529 S FLAGLER DR 6G,WEST PALM BEACH,33401
12/17/2025,17142 LUDOVICA LN,BOCA RATON,33496
12/18/2025,262 TIMBERWALK TRL,JUPITER,33458
12/18/2025,710 W KALMIA DR,LAKE PARK,33403
12/18/2025,595 DAKOTA DR,JUPITER,33458
1/5/2026,23345 CAROLWOOD LN 5405,BOCA RATON,33428
1/5/2026,5321 53RD WAY,WEST PALM BEACH,33409
1/5/2026,651 OKEECHOBEE BLVD APT 205,WEST PALM BEACH,33401
1/5/2026,8017 ABERDEEN DR 201,BOYNTON BEACH,33472
1/5/2026,10646 BOCA ENTRADA BLVD,BOCA RATON,33428
1/5/2026,23337 SW 61ST AVE D,BOCA RATON,33428
1/5/2026,1042 WOODFIELD RD,GREENACRES,33415
1/5/2026,402 NE 10TH TER,BOCA RATON,33432
1/5/2026,11656 154TH RD N,JUPITER,33478
1/5/2026,8611 DEARBORN RIVER WAY,BOCA RATON,33496
1/5/2026,308 PINE RIDGE CIR D2,GREENACRES,33463
1/5/2026,1486 WOODCREST RD N,WEST PALM BEACH,33417
1/5/2026,6270 130TH AVE N,WEST PALM BEACH,33412
1/5/2026,625 6TH TER,PALM BEACH GARDENS,33418
1/5/2026,3464 TYRINGHAM DR,WEST PALM BEACH,33406
1/5/2026,7832 ROCKFORD RD,BOYNTON BEACH,33472
1/5/2026,2812 S GARDEN DR 305,LAKE WORTH,33461
1/6/2026,5155 EUROPA DR A,BOYNTON BEACH,33437
1/6/2026,3047 NEWCASTLE C,BOCA RATON,33434
1/6/2026,145 SW 5TH AVE,SOUTH BAY,33493
1/6/2026,4830 RICHMOND MEWS,HAVERHILL,33415
1/6/2026,5706 BARNSTEAD CIRCLE,LAKE WORTH,33463
1/12/2026,8363 DYNASTY DR,BOCA RATON,33433
1/12/2026,3482 BRIAR BAY BLVD APT 202,WEST PALM BEACH,33411
1/12/2026,6606 DOCKSIDE CIR,GREENACRES,33463
1/13/2026,500 CROSSWINDS DR F1,GREENACRES,33413
1/14/2026,3219 BUCKLEY AVE,LAKE WORTH,33461
1/14/2026,6646 NW 25TH TER,BOCA RATON,33496
1/14/2026,1421 S PALMWAY,LAKE WORTH,33460
1/14/2026,,,
1/14/2026,5138 WOODRUFF LN,PALM BEACH GARDENS,33418
1/14/2026,627 W ILEX DR,LAKE PARK,33403
1/14/2026,777 CARISSA DR,ROYAL PALM BEACH,33411
1/14/2026,2565 S OCEAN BLVD 203N,HIGHLAND BEACH,33487
1/15/2026,470 63RD TRL N,WEST PALM BEACH,33413
1/15/2026,22970 OXFORD PL D,BOCA RATON,33433
1/15/2026,4805 CARVER ST,LAKE WORTH,33463
1/20/2026,1360 WYNNEWOOD DR,WEST PALM BEACH,33417
1/20/2026,13935 GERANIUM PL,WELLINGTON,33414
1/20/2026,716 LA COSTA WAY,LANTANA,33462
1/20/2026,5660 LAGO DEL SOL DR,LAKE WORTH,33449
1/20/2026,35 LAUREL OAKS CIR,JUPITER,33469
1/21/2026,99 SE MIZNER BLVD APT 627,BOCA RATON,33432
1/21/2026,18238 COVINA WAY,BOCA RATON,33498
1/22/2026,99 SE MIZNER BLVD APT 223,BOCA RATON,33432
1/28/2026,16370 VIA FONTANA,DELRAY BEACH,33484
1/28/2026,7187 VILLAMAR WAY,LAKE WORTH,33463
1/28/2026,1013 WOODFIELD RD,GREENACRES,33415
2/3/2026,586 NW 46TH AVE,DELRAY BEACH,33445
2/5/2026,1319 13TH WAY,WEST PALM BEACH,33407
2/5/2026,1317 11TH ST,WEST PALM BEACH,33401
2/9/2026,178 JONES CREEK DR,JUPITER,33458
